584	30	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4
604	31	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4
624	32	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4
644	33	-1280	-1024	0.667	0.559	-1.000	-1.000	4	-1280	-1024	0.433	0.566	-1.000	-1.000	4
664	34	627	235	0.666	0.559	935.936	3.804	0	-1280	-1024	0.666	0.559	-1.000	-1.000	4
684	35	561	300	0.667	0.559	935.869	3.718	0	621	361	0.433	0.566	917.380	3.388	0
704	36	546	279	0.667	0.559	935.815	3.378	0	572	421	0.433	0.566	917.400	3.286	0
724	37	610	353	0.667	0.559	935.760	3.479	0	604	375	0.433	0.567	917.409	3.277	0
744	38	-1280	-1024	0.665	0.559	-1.000	-1.000	4	-1280	-1024	0.431	0.567	-1.000	-1.000	4
763	39	583	373	0.665	0.559	937.569	3.383	0	599	338	0.431	0.567	912.410	3.222	0
783	40	583	415	0.664	0.559	937.585	3.466	0	568	353	0.430	0.567	912.514	3.225	0
803	41	631	351	0.664	0.559	937.598	3.373	0	605	294	0.430	0.567	912.607	3.107	0
823	42	-1280	-1024	0.664	0.559	-1.000	-1.000	4	-1280	-1024	0.430	0.567	-1.000	-1.000	4
843	43	-1280	-1024	0.664	0.559	-1.000	-1.000	4	-1280	-1024	0.431	0.567	-1.000	-1.000	4
863	44	611	361	0.663	0.560	936.972	3.310	0	616	384	0.430	0.568	906.197	3.159	0
883	45	978	513	0.660	0.562	936.979	3.220	0	927	482	0.427	0.569	906.266	3.139	0
903	46	991	581	0.660	0.562	936.986	3.185	0	970	628	0.427	0.570	906.327	3.063	0
923	47	923	576	0.660	0.562	936.992	3.302	0	965	571	0.426	0.570	906.382	2.988	0
943	48	-1280	-1024	0.661	0.562	-1.000	-1.000	4	-1280	-1024	0.427	0.570	-1.000	-1.000	4
963	49	966	637	0.661	0.562	935.965	3.335	0	-1280	-1024	0.661	0.562	-1.000	-1.000	4
983	50	946	556	0.662	0.562	935.974	3.286	0	899	664	0.428	0.570	905.229	3.085	0
1003	51	971	621	0.661	0.562	935.982	3.424	0	-1280	-1024	0.661	0.562	-1.000	-1.000	4
1023	52	948	621	0.661	0.563	935.989	3.431	0	876	685	0.428	0.571	905.219	3.204	0
1043	53	954	621	0.660	0.562	935.995	3.438	0	908	600	0.427	0.571	905.215	3.044	0
1063	54	937	591	0.661	0.562	920.521	3.296	0	916	611	0.428	0.571	903.440	3.166	0
1083	55	992	627	0.662	0.563	920.742	3.323	0	879	638	0.428	0.571	903.447	3.227	0
1102	56	910	482	0.662	0.563	920.924	3.225	0	-1280	-1024	0.662	0.563	-1.000	-1.000	4
1122	57	907	629	0.662	0.562	921.100	3.497	0	-1280	-1024	0.662	0.562	-1.000	-1.000	4
1142	58	-1280	-1024	0.662	0.561	-1.000	-1.000	4	-1280	-1024	0.429	0.569	-1.000	-1.000	4
1162	59	-1280	-1024	0.662	0.561	-1.000	-1.000	4	-1280	-1024	0.429	0.569	-1.000	-1.000	4
1182	60	-1280	-1024	0.664	0.561	-1.000	-1.000	4	-1280	-1024	0.430	0.569	-1.000	-1.000	4
1202	61	642	382	0.663	0.561	919.979	3.139	0	638	459	0.430	0.569	913.130	3.132	0
1222	62	666	466	0.663	0.561	920.021	3.187	0	-1280	-1024	0.663	0.561	-1.000	-1.000	4
1242	63	-1280	-1024	0.662	0.561	-1.000	-1.000	4	-1280	-1024	0.428	0.569	-1.000	-1.000	4
1262	64	678	390	0.662	0.561	918.401	3.155	0	686	473	0.428	0.569	914.989	3.178	0
1282	65	720	483	0.663	0.561	918.274	3.243	0	640	413	0.429	0.569	914.912	3.064	0
1302	66	636	389	0.663	0.561	918.161	3.115	0	660	452	0.429	0.570	914.843	3.073	0
1322	67	601	338	0.663	0.562	918.061	3.055	0	636	351	0.429	0.570	914.782	2.982	0
1342	68	-1280	-1024	0.662	0.562	-1.000	-1.000	4	-1280	-1024	0.428	0.570	-1.000	-1.000	4
1362	69	645	435	0.662	0.562	927.535	3.238	0	665	600	0.428	0.570	917.731	3.535	0
1381	70	576	403	0.663	0.563	927.496	3.193	0	619	405	0.430	0.571	917.790	3.119	0
1402	71	468	623	0.665	0.564	927.461	3.253	0	445	623	0.432	0.573	917.842	3.296	0
1421	72	315	606	0.665	0.565	927.435	3.300	0	316	628	0.432	0.573	917.892	3.272	0
1441	73	-1280	-1024	0.664	0.565	-1.000	-1.000	4	-1280	-1024	0.431	0.573	-1.000	-1.000	4
1461	74	400	704	0.664	0.565	925.932	3.540	0	315	597	0.431	0.573	916.225	3.239	0
1481	75	348	599	0.663	0.565	925.923	3.202	0	348	582	0.430	0.573	916.204	3.213	0
1501	76	404	637	0.663	0.565	925.914	3.384	0	342	609	0.430	0.573	916.185	3.175	0
1521	77	356	571	0.663	0.565	925.907	3.256	0	337	563	0.430	0.573	916.168	3.250	0
1541	78	-1280	-1024	0.665	0.565	-1.000	-1.000	4	-1280	-1024	0.431	0.573	-1.000	-1.000	4
1561	79	401	631	0.665	0.566	923.139	3.442	0	322	645	0.431	0.574	918.916	3.405	0
1581	80	328	641	0.664	0.566	923.228	3.321	0	228	674	0.431	0.574	918.885	3.415	0
1601	81	-1280	-1024	0.664	0.566	-1.000	-1.000	4	-1280	-1024	0.431	0.574	-1.000	-1.000	4
1621	82	-1280	-1024	0.665	0.566	-1.000	-1.000	4	-1280	-1024	0.431	0.574	-1.000	-1.000	4
1641	83	-1280	-1024	0.666	0.566	-1.000	-1.000	4	-1280	-1024	0.432	0.574	-1.000	-1.000	4
1661	84	-1280	-1024	0.666	0.566	-1.000	-1.000	4	-1280	-1024	0.432	0.574	-1.000	-1.000	4
1681	85	-1280	-1024	0.665	0.566	-1.000	-1.000	4	-1280	-1024	0.431	0.574	-1.000	-1.000	4
1701	86	-1280	-1024	0.665	0.566	-1.000	-1.000	4	-1280	-1024	0.431	0.574	-1.000	-1.000	4
1721	87	-1280	-1024	0.665	0.566	-1.000	-1.000	4	-1280	-1024	0.431	0.574	-1.000	-1.000	4
1740	88	300	622	0.666	0.566	927.777	3.401	0	254	677	0.432	0.574	917.675	3.345	0
1760	89	-1280	-1024	0.667	0.566	-1.000	-1.000	4	-1280	-1024	0.433	0.574	-1.000	-1.000	4
1780	90	270	567	0.665	0.566	921.487	3.248	0	237	651	0.431	0.574	914.623	3.372	0
1800	91	-1280	-1024	0.665	0.567	-1.000	-1.000	4	-1280	-1024	0.431	0.574	-1.000	-1.000	4
1820	92	-1280	-1024	0.665	0.567	-1.000	-1.000	4	-1280	-1024	0.431	0.575	-1.000	-1.000	4
1840	93	-1280	-1024	0.666	0.567	-1.000	-1.000	4	-1280	-1024	0.432	0.575	-1.000	-1.000	4
1860	94	329	660	0.666	0.567	922.814	3.424	0	272	668	0.432	0.575	913.778	3.377	0
1880	95	398	673	0.665	0.567	922.900	3.456	0	341	625	0.431	0.575	913.773	3.230	0
1900	96	423	669	0.665	0.567	922.977	3.574	0	403	640	0.431	0.575	913.770	3.253	0
1920	97	448	674	0.665	0.567	923.045	3.524	0	379	642	0.431	0.575	913.766	3.377	0
1940	98	-1280	-1024	0.666	0.567	-1.000	-1.000	4	-1280	-1024	0.432	0.575	-1.000	-1.000	4
1960	99	417	652	0.666	0.568	929.183	3.381	0	369	651	0.432	0.575	913.064	3.401	0
1980	100	435	675	0.665	0.568	928.983	3.466	0	358	673	0.431	0.575	913.054	3.412	0
2000	101	399	630	0.665	0.568	928.805	3.458	0	347	676	0.431	0.575	913.044	3.431	0
2020	102	438	667	0.665	0.568	928.650	3.481	0	363	654	0.431	0.575	913.034	3.430	0
2040	103	-1280	-1024	0.666	0.568	-1.000	-1.000	4	-1280	-1024	0.432	0.575	-1.000	-1.000	4
2059	104	412	592	0.666	0.567	926.591	3.445	0	338	678	0.432	0.575	913.302	3.538	0
2079	105	444	680	0.665	0.567	926.645	3.698	0	352	638	0.431	0.575	913.319	3.443	0
2099	106	435	656	0.665	0.567	926.694	3.569	0	357	625	0.431	0.575	913.334	3.480	0
2119	107	426	658	0.665	0.567	926.737	3.654	0	372	623	0.431	0.575	913.347	3.422	0
2139	108	-1280	-1024	0.666	0.567	-1.000	-1.000	4	-1280	-1024	0.432	0.575	-1.000	-1.000	4
2159	109	455	705	0.666	0.567	922.765	3.521	0	341	687	0.432	0.575	913.596	3.460	0
2179	110	445	703	0.665	0.567	922.919	3.663	0	358	682	0.431	0.575	913.581	3.526	0
2199	111	402	656	0.665	0.567	923.056	3.547	0	343	646	0.431	0.575	913.568	3.521	0
2219	112	428	633	0.666	0.568	923.185	3.509	0	375	654	0.431	0.575	913.557	3.452	0
2239	113	-1280	-1024	0.667	0.567	-1.000	-1.000	4	-1280	-1024	0.432	0.575	-1.000	-1.000	4
2259	114	445	601	0.667	0.568	922.614	3.429	0	412	622	0.432	0.575	918.641	3.413	0
2279	115	459	633	0.666	0.568	922.524	3.453	0	409	637	0.431	0.575	918.568	3.406	0
2299	116	465	688	0.666	0.568	922.444	3.573	0	363	677	0.432	0.575	918.504	3.497	0
2319	117	445	662	0.666	0.568	922.373	3.511	0	469	554	0.432	0.575	918.446	3.391	0
2339	118	443	690	0.667	0.568	922.309	3.560	0	473	566	0.433	0.575	918.394	3.416	0
2359	119	441	646	0.666	0.568	923.149	3.535	0	356	671	0.432	0.575	920.838	3.560	0
2378	120	456	653	0.666	0.568	923.131	3.520	0	375	659	0.432	0.575	920.799	3.511	0
2398	121	456	661	0.666	0.568	923.115	3.552	0	395	653	0.432	0.575	920.764	3.492	0
2418	122	442	662	0.666	0.568	923.095	3.564	0	377	650	0.432	0.575	920.730	3.419	0
2438	123	450	663	0.667	0.568	923.082	3.567	0	385	648	0.433	0.575	920.702	3.381	0
2458	124	428	612	0.666	0.568	923.037	3.619	0	396	592	0.432	0.575	922.115	3.405	0
2478	125	456	646	0.666	0.568	923.091	3.445	0	366	645	0.432	0.575	922.134	3.524	0
2498	126	546	635	0.665	0.568	923.139	3.574	0	513	595	0.431	0.575	922.150	3.374	0
2518	127	587	615	0.665	0.568	923.183	3.545	0	583	594	0.431	0.575	922.165	3.435	0
2538	128	-1280	-1024	0.666	0.568	-1.000	-1.000	4	-1280	-1024	0.432	0.575	-1.000	-1.000	4
2558	129	613	627	0.666	0.568	928.405	3.633	0	615	562	0.432	0.575	923.691	3.372	0
2578	130	602	614	0.665	0.568	928.299	3.615	0	610	521	0.431	0.575	923.657	3.295	0
2598	131	586	638	0.665	0.568	928.205	3.565	0	611	563	0.431	0.575	923.627	3.427	0
2618	132	616	598	0.665	0.568	928.127	3.650	0	577	576	0.431	0.576	923.602	3.397	0
